ontology	GO_id	description
BP	GO:0014902	myotube differentiation
BP	GO:0014904	myotube cell development
BP	GO:0015009	corrin metabolic process
BP	GO:0015012	heparan sulfate proteoglycan biosynthetic process
BP	GO:0015014	heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process
BP	GO:0015015	heparan sulfate proteoglycan biosynthetic process, enzymatic modification
BP	GO:0015031	protein transport
BP	GO:0015074	DNA integration
BP	GO:0015628	protein secretion by the type II secretion system
BP	GO:0015669	gas transport
BP	GO:0015670	carbon dioxide transport
BP	GO:0015671	oxygen transport
BP	GO:0015672	monovalent inorganic cation transport
BP	GO:0015675	nickel cation transport
BP	GO:0015677	copper ion import
BP	GO:0015679	plasma membrane copper ion transport
BP	GO:0015685	ferric-enterobactin import into cell
BP	GO:0015687	ferric-hydroxamate import into cell
BP	GO:0015689	molybdate ion transport
BP	GO:0015691	cadmium ion transport
BP	GO:0015692	lead ion transport
BP	GO:0015693	magnesium ion transport
BP	GO:0015694	mercury ion transport
BP	GO:0015695	organic cation transport
BP	GO:0015696	ammonium transport
BP	GO:0015697	quaternary ammonium group transport
BP	GO:0015698	inorganic anion transport
BP	GO:0015699	antimonite transport
BP	GO:0015700	arsenite transport
BP	GO:0015701	bicarbonate transport
BP	GO:0015703	chromate transport
BP	GO:0015706	nitrate transport
BP	GO:0015707	nitrite transport
BP	GO:0015708	silicic acid import across plasma membrane
BP	GO:0015709	thiosulfate transport
BP	GO:0015710	tellurite transport
BP	GO:0015711	organic anion transport
BP	GO:0015712	hexose phosphate transport
BP	GO:0015713	phosphoglycerate transmembrane transport
BP	GO:0015716	organic phosphonate transport
BP	GO:0015718	monocarboxylic acid transport
BP	GO:0015721	bile acid and bile salt transport
BP	GO:0015724	formate transport
BP	GO:0015726	L-idonate transmembrane transport
BP	GO:0015727	lactate transport
BP	GO:0015729	oxaloacetate transport
BP	GO:0015733	shikimate transmembrane transport
BP	GO:0015734	taurine transport
BP	GO:0015735	uronic acid transmembrane transport
BP	GO:0015736	hexuronate transmembrane transport
BP	GO:0015739	sialic acid transport
BP	GO:0015740	C4-dicarboxylate transport
BP	GO:0015741	fumarate transport
BP	GO:0015742	alpha-ketoglutarate transport
BP	GO:0015743	malate transport
BP	GO:0015744	succinate transport
BP	GO:0015746	citrate transport
BP	GO:0015747	urate transport
BP	GO:0015748	organophosphate ester transport
BP	GO:0015749	monosaccharide transmembrane transport
BP	GO:0015750	pentose transmembrane transport
BP	GO:0015751	arabinose transmembrane transport
BP	GO:0015752	D-ribose transmembrane transport
BP	GO:0015753	D-xylose transmembrane transport
BP	GO:0015755	fructose transmembrane transport
BP	GO:0015756	fucose transmembrane transport
BP	GO:0015757	galactose transmembrane transport
BP	GO:0015760	glucose-6-phosphate transport
BP	GO:0015761	mannose transmembrane transport
BP	GO:0015762	rhamnose transmembrane transport
BP	GO:0015764	N-acetylglucosamine transport
BP	GO:0015765	methylgalactoside transport
BP	GO:0015766	disaccharide transport
BP	GO:0015767	lactose transport
BP	GO:0015768	maltose transport
BP	GO:0015769	melibiose transport
BP	GO:0015770	sucrose transport
BP	GO:0015771	trehalose transport
BP	GO:0015772	oligosaccharide transport
BP	GO:0015774	polysaccharide transport
BP	GO:0015775	beta-glucan transport
BP	GO:0015776	capsular polysaccharide transport
BP	GO:0015777	teichoic acid transport
BP	GO:0015778	hexuronide transport
BP	GO:0015780	nucleotide-sugar transmembrane transport
BP	GO:0015786	UDP-glucose transmembrane transport
BP	GO:0015791	polyol transport
BP	GO:0015793	glycerol transport
BP	GO:0015794	glycerol-3-phosphate transmembrane transport
BP	GO:0015796	galactitol transport
BP	GO:0015797	mannitol transport
BP	GO:0015798	myo-inositol transport
BP	GO:0015800	acidic amino acid transport
BP	GO:0015801	aromatic amino acid transport
BP	GO:0015802	basic amino acid transport
BP	GO:0015803	branched-chain amino acid transport
BP	GO:0015804	neutral amino acid transport
BP	GO:0015806	S-methylmethionine transport
BP	GO:0015807	L-amino acid transport
BP	GO:0015808	L-alanine transport
BP	GO:0015809	arginine transport
BP	GO:0015810	aspartate transmembrane transport
BP	GO:0015811	L-cystine transport
BP	GO:0015812	gamma-aminobutyric acid transport
BP	GO:0015813	L-glutamate transmembrane transport
BP	GO:0015814	p-aminobenzoyl-glutamate transport
BP	GO:0015816	glycine transport
BP	GO:0015817	histidine transport
BP	GO:0015818	isoleucine transport
BP	GO:0015819	lysine transport
BP	GO:0015820	leucine transport
BP	GO:0015821	methionine transport
BP	GO:0015822	ornithine transport
BP	GO:0015823	phenylalanine transport
BP	GO:0015824	proline transport
BP	GO:0015825	L-serine transport
BP	GO:0015826	threonine transport
BP	GO:0015827	tryptophan transport
BP	GO:0015828	tyrosine transport
BP	GO:0015829	valine transport
BP	GO:0015833	peptide transport
BP	GO:0015835	peptidoglycan transport
BP	GO:0015836	lipid-linked peptidoglycan transport
BP	GO:0015837	amine transport
BP	GO:0015838	amino-acid betaine transport
BP	GO:0015839	cadaverine transport
BP	GO:0015840	urea transport
BP	GO:0015846	polyamine transport
BP	GO:0015847	putrescine transport
BP	GO:0015848	spermidine transport
BP	GO:0015849	organic acid transport
BP	GO:0015850	organic hydroxy compound transport
BP	GO:0015851	nucleobase transport
BP	GO:0015853	adenine transport
BP	GO:0015854	guanine transport
BP	GO:0015855	pyrimidine nucleobase transport
BP	GO:0015856	cytosine transport
BP	GO:0015857	uracil transport
BP	GO:0015858	nucleoside transport
BP	GO:0015860	purine nucleoside transmembrane transport
BP	GO:0015861	cytidine transport
BP	GO:0015862	uridine transport
BP	GO:0015863	xanthosine transport
BP	GO:0015864	pyrimidine nucleoside transport
BP	GO:0015865	purine nucleotide transport
BP	GO:0015866	ADP transport
BP	GO:0015867	ATP transport
BP	GO:0015868	purine ribonucleotide transport
BP	GO:0015871	choline transport
BP	GO:0015876	acetyl-CoA transport
BP	GO:0015878	biotin transport
BP	GO:0015879	carnitine transport
BP	GO:0015882	L-ascorbic acid transmembrane transport
BP	GO:0015884	folic acid transport
BP	GO:0015885	5-formyltetrahydrofolate transport
BP	GO:0015886	heme transport
BP	GO:0015887	pantothenate transmembrane transport
BP	GO:0015888	thiamine transport
BP	GO:0015889	cobalamin transport
BP	GO:0015891	siderophore transport
BP	GO:0015893	drug transport
BP	GO:0015904	tetracycline transmembrane transport
BP	GO:0015904	tetracycline transport
BP	GO:0015906	sulfathiazole transport
BP	GO:0015908	fatty acid transport
BP	GO:0015909	long-chain fatty acid transport
BP	GO:0015911	long-chain fatty acid import across plasma membrane
BP	GO:0015912	short-chain fatty acid transport
BP	GO:0015914	phospholipid transport
BP	GO:0015916	fatty-acyl-CoA transport
BP	GO:0015918	sterol transport
BP	GO:0015919	peroxisomal membrane transport
BP	GO:0015920	lipopolysaccharide transport
BP	GO:0015921	lipopolysaccharide export
BP	GO:0015931	nucleobase-containing compound transport
BP	GO:0015936	coenzyme A metabolic process
BP	GO:0015937	coenzyme A biosynthetic process
BP	GO:0015938	coenzyme A catabolic process
BP	GO:0015939	pantothenate metabolic process
BP	GO:0015940	pantothenate biosynthetic process
BP	GO:0015941	pantothenate catabolic process
BP	GO:0015942	formate metabolic process
BP	GO:0015944	formate oxidation
BP	GO:0015945	methanol metabolic process
BP	GO:0015946	methanol oxidation
BP	GO:0015947	methane metabolic process
BP	GO:0015948	methanogenesis
BP	GO:0015949	nucleobase-containing small molecule interconversion
BP	GO:0015950	purine nucleotide interconversion
BP	GO:0015951	purine ribonucleotide interconversion
BP	GO:0015959	diadenosine polyphosphate metabolic process
BP	GO:0015960	diadenosine polyphosphate biosynthetic process
BP	GO:0015961	diadenosine polyphosphate catabolic process
BP	GO:0015965	diadenosine tetraphosphate metabolic process
BP	GO:0015966	diadenosine tetraphosphate biosynthetic process
BP	GO:0015967	diadenosine tetraphosphate catabolic process
BP	GO:0015968	stringent response
BP	GO:0015969	guanosine tetraphosphate metabolic process
BP	GO:0015970	guanosine tetraphosphate biosynthetic process
BP	GO:0015971	guanosine tetraphosphate catabolic process
BP	GO:0015972	guanosine pentaphosphate metabolic process
BP	GO:0015974	guanosine pentaphosphate catabolic process
BP	GO:0015975	energy derivation by oxidation of reduced inorganic compounds
BP	GO:0015976	carbon utilization
BP	GO:0015977	carbon fixation
BP	GO:0015979	photosynthesis
BP	GO:0015980	energy derivation by oxidation of organic compounds
BP	GO:0015985	energy coupled proton transport, down electrochemical gradient
BP	GO:0015986	ATP synthesis coupled proton transport
BP	GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient
BP	GO:0015990	electron transport coupled proton transport
BP	GO:0015991	ATP hydrolysis coupled proton transport
BP	GO:0015994	chlorophyll metabolic process
BP	GO:0015995	chlorophyll biosynthetic process
BP	GO:0015996	chlorophyll catabolic process
BP	GO:0016024	CDP-diacylglycerol biosynthetic process
BP	GO:0016032	viral process
BP	GO:0016036	cellular response to phosphate starvation
BP	GO:0016037	light absorption
BP	GO:0016042	lipid catabolic process
BP	GO:0016043	cellular component organization
BP	GO:0016045	detection of bacterium
BP	GO:0016049	cell growth
BP	GO:0016050	vesicle organization
BP	GO:0016051	carbohydrate biosynthetic process
BP	GO:0016052	carbohydrate catabolic process
BP	GO:0016053	organic acid biosynthetic process
BP	GO:0016054	organic acid catabolic process
BP	GO:0016055	Wnt signaling pathway
BP	GO:0016056	rhodopsin mediated signaling pathway
BP	GO:0016062	adaptation of rhodopsin mediated signaling
BP	GO:0016064	immunoglobulin mediated immune response
BP	GO:0016070	RNA metabolic process
BP	GO:0016071	mRNA metabolic process
BP	GO:0016072	rRNA metabolic process
BP	GO:0016073	snRNA metabolic process
BP	GO:0016075	rRNA catabolic process
BP	GO:0016078	tRNA catabolic process
BP	GO:0016093	polyprenol metabolic process
BP	GO:0016094	polyprenol biosynthetic process
BP	GO:0016098	monoterpenoid metabolic process
BP	GO:0016100	monoterpenoid catabolic process
BP	GO:0016101	diterpenoid metabolic process
BP	GO:0016102	diterpenoid biosynthetic process
BP	GO:0016104	triterpenoid biosynthetic process
BP	GO:0016106	sesquiterpenoid biosynthetic process
BP	GO:0016108	tetraterpenoid metabolic process
BP	GO:0016109	tetraterpenoid biosynthetic process
BP	GO:0016110	tetraterpenoid catabolic process
BP	GO:0016114	terpenoid biosynthetic process
BP	GO:0016115	terpenoid catabolic process
BP	GO:0016116	carotenoid metabolic process
BP	GO:0016117	carotenoid biosynthetic process
BP	GO:0016118	carotenoid catabolic process
BP	GO:0016119	carotene metabolic process
BP	GO:0016120	carotene biosynthetic process
BP	GO:0016121	carotene catabolic process
BP	GO:0016122	xanthophyll metabolic process
BP	GO:0016123	xanthophyll biosynthetic process
BP	GO:0016124	xanthophyll catabolic process
BP	GO:0016125	sterol metabolic process
BP	GO:0016126	sterol biosynthetic process
BP	GO:0016127	sterol catabolic process
BP	GO:0016128	phytosteroid metabolic process
BP	GO:0016129	phytosteroid biosynthetic process
BP	GO:0016131	brassinosteroid metabolic process
BP	GO:0016132	brassinosteroid biosynthetic process
BP	GO:0016134	saponin metabolic process
BP	GO:0016136	saponin catabolic process
BP	GO:0016137	glycoside metabolic process
BP	GO:0016138	glycoside biosynthetic process
BP	GO:0016139	glycoside catabolic process
BP	GO:0016143	S-glycoside metabolic process
BP	GO:0016144	S-glycoside biosynthetic process
BP	GO:0016145	S-glycoside catabolic process
BP	GO:0016180	snRNA processing
BP	GO:0016192	vesicle-mediated transport
BP	GO:0016197	endosomal transport
BP	GO:0016226	iron-sulfur cluster assembly
BP	GO:0016236	macroautophagy
BP	GO:0016237	lysosomal microautophagy
BP	GO:0016239	positive regulation of macroautophagy
BP	GO:0016241	regulation of macroautophagy
BP	GO:0016242	negative regulation of macroautophagy
BP	GO:0016246	RNA interference
BP	GO:0016255	attachment of GPI anchor to protein
BP	GO:0016259	selenocysteine metabolic process
BP	GO:0016260	selenocysteine biosynthetic process
BP	GO:0016261	selenocysteine catabolic process
BP	GO:0016310	phosphorylation
BP	GO:0016311	dephosphorylation
BP	GO:0016319	mushroom body development
BP	GO:0016320	endoplasmic reticulum membrane fusion
BP	GO:0016331	morphogenesis of embryonic epithelium
BP	GO:0016333	morphogenesis of follicular epithelium
BP	GO:0016334	establishment or maintenance of polarity of follicular epithelium
BP	GO:0016358	dendrite development
BP	GO:0016441	posttranscriptional gene silencing
BP	GO:0016444	somatic cell DNA recombination
BP	GO:0016445	somatic diversification of immunoglobulins
BP	GO:0016446	somatic hypermutation of immunoglobulin genes
BP	GO:0016447	somatic recombination of immunoglobulin gene segments
BP	GO:0016458	gene silencing
BP	GO:0016477	cell migration
BP	GO:0016482	cytosolic transport
BP	GO:0016485	protein processing
BP	GO:0016486	peptide hormone processing
BP	GO:0016525	negative regulation of angiogenesis
BP	GO:0016539	intein-mediated protein splicing
BP	GO:0016540	protein autoprocessing
BP	GO:0016553	base conversion or substitution editing
BP	GO:0016554	cytidine to uridine editing
BP	GO:0016556	mRNA modification
BP	GO:0016558	protein import into peroxisome matrix
BP	GO:0016559	peroxisome fission
BP	GO:0016567	protein ubiquitination
BP	GO:0016569	covalent chromatin modification
BP	GO:0016570	histone modification
BP	GO:0016571	histone methylation
BP	GO:0016573	histone acetylation
BP	GO:0016574	histone ubiquitination
BP	GO:0016575	histone deacetylation
BP	GO:0016577	histone demethylation
BP	GO:0016578	histone deubiquitination
BP	GO:0016579	protein deubiquitination
BP	GO:0016584	nucleosome positioning
BP	GO:0016598	protein arginylation
BP	GO:0016925	protein sumoylation
BP	GO:0016973	poly(A)+ mRNA export from nucleus
BP	GO:0016998	cell wall macromolecule catabolic process
BP	GO:0016999	antibiotic metabolic process
BP	GO:0017000	antibiotic biosynthetic process
BP	GO:0017001	antibiotic catabolic process
BP	GO:0017003	protein-heme linkage
BP	GO:0017004	cytochrome complex assembly
BP	GO:0017006	protein-tetrapyrrole linkage
BP	GO:0017007	protein-bilin linkage
BP	GO:0017009	protein-phycocyanobilin linkage
BP	GO:0017013	protein flavinylation
BP	GO:0017014	protein nitrosylation
BP	GO:0017015	regulation of transforming growth factor beta receptor signaling pathway
BP	GO:0017038	protein import
BP	GO:0017062	respiratory chain complex III assembly
BP	GO:0017085	response to insecticide
BP	GO:0017121	plasma membrane phospholipid scrambling
BP	GO:0017144	drug metabolic process
BP	GO:0017148	negative regulation of translation
BP	GO:0017157	regulation of exocytosis
BP	GO:0017158	regulation of calcium ion-dependent exocytosis
BP	GO:0017182	peptidyl-diphthamide metabolic process
BP	GO:0017183	peptidyl-diphthamide biosynthetic process from peptidyl-histidine
BP	GO:0017185	peptidyl-lysine hydroxylation
BP	GO:0017186	peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase
BP	GO:0017187	peptidyl-glutamic acid carboxylation
BP	GO:0017189	N-terminal peptidyl-alanine acetylation
BP	GO:0017198	N-terminal peptidyl-serine acetylation
BP	GO:0018011	N-terminal peptidyl-alanine methylation
BP	GO:0018012	N-terminal peptidyl-alanine trimethylation
BP	GO:0018022	peptidyl-lysine methylation
BP	GO:0018023	peptidyl-lysine trimethylation
BP	GO:0018063	cytochrome c-heme linkage
BP	GO:0018065	protein-cofactor linkage
BP	GO:0018070	peptidyl-serine phosphopantetheinylation
BP	GO:0018083	peptidyl-L-3-oxoalanine biosynthetic process from peptidyl-cysteine or peptidyl-serine
BP	GO:0018095	protein polyglutamylation
BP	GO:0018101	protein citrullination
BP	GO:0018104	peptidoglycan-protein cross-linking
BP	GO:0018105	peptidyl-serine phosphorylation
BP	GO:0018106	peptidyl-histidine phosphorylation
BP	GO:0018107	peptidyl-threonine phosphorylation
BP	GO:0018108	peptidyl-tyrosine phosphorylation
BP	GO:0018117	protein adenylylation
BP	GO:0018119	peptidyl-cysteine S-nitrosylation
BP	GO:0018125	peptidyl-cysteine methylation
BP	GO:0018126	protein hydroxylation
BP	GO:0018130	heterocycle biosynthetic process
BP	GO:0018131	oxazole or thiazole biosynthetic process
BP	GO:0018142	protein-DNA covalent cross-linking
BP	GO:0018143	nucleic acid-protein covalent cross-linking
BP	GO:0018149	peptide cross-linking
BP	GO:0018153	isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine
BP	GO:0018158	protein oxidation
BP	GO:0018160	peptidyl-pyrromethane cofactor linkage
BP	GO:0018171	peptidyl-cysteine oxidation
BP	GO:0018175	protein nucleotidylation
BP	GO:0018177	protein uridylylation
BP	GO:0018178	peptidyl-threonine adenylylation
BP	GO:0018189	pyrroloquinoline quinone biosynthetic process
BP	GO:0018192	enzyme active site formation via cysteine modification to L-cysteine persulfide
BP	GO:0018193	peptidyl-amino acid modification
BP	GO:0018194	peptidyl-alanine modification
BP	GO:0018195	peptidyl-arginine modification
BP	GO:0018196	peptidyl-asparagine modification
BP	GO:0018197	peptidyl-aspartic acid modification
BP	GO:0018198	peptidyl-cysteine modification
BP	GO:0018199	peptidyl-glutamine modification
BP	GO:0018200	peptidyl-glutamic acid modification
BP	GO:0018202	peptidyl-histidine modification
BP	GO:0018205	peptidyl-lysine modification
BP	GO:0018206	peptidyl-methionine modification
BP	GO:0018208	peptidyl-proline modification
BP	GO:0018209	peptidyl-serine modification
BP	GO:0018210	peptidyl-threonine modification
BP	GO:0018212	peptidyl-tyrosine modification
BP	GO:0018214	protein carboxylation
BP	GO:0018215	protein phosphopantetheinylation
BP	GO:0018216	peptidyl-arginine methylation
BP	GO:0018240	protein S-linked glycosylation via cysteine
BP	GO:0018242	protein O-linked glycosylation via serine
BP	GO:0018246	protein-coenzyme A linkage
BP	GO:0018247	protein-phosphoribosyl dephospho-coenzyme A linkage
BP	GO:0018249	protein dehydration
BP	GO:0018262	isopeptide cross-linking
BP	GO:0018272	protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine
BP	GO:0018277	protein deamination
BP	GO:0018279	protein N-linked glycosylation via asparagine
BP	GO:0018280	protein S-linked glycosylation
BP	GO:0018282	metal incorporation into metallo-sulfur cluster
BP	GO:0018283	iron incorporation into metallo-sulfur cluster
BP	GO:0018289	molybdenum incorporation into metallo-sulfur cluster
BP	GO:0018291	molybdenum incorporation into iron-sulfur cluster
BP	GO:0018293	protein-FAD linkage
BP	GO:0018298	protein-chromophore linkage
BP	GO:0018307	enzyme active site formation
BP	GO:0018315	molybdenum incorporation into molybdenum-molybdopterin complex
BP	GO:0018335	protein succinylation
BP	GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
BP	GO:0018342	protein prenylation
BP	GO:0018343	protein farnesylation
BP	GO:0018345	protein palmitoylation
BP	GO:0018352	protein-pyridoxal-5-phosphate linkage
BP	GO:0018364	peptidyl-glutamine methylation
BP	GO:0018378	cytochrome c-heme linkage via heme-L-cysteine
BP	GO:0018393	internal peptidyl-lysine acetylation
BP	GO:0018394	peptidyl-lysine acetylation
BP	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
BP	GO:0018410	C-terminal protein amino acid modification
BP	GO:0018414	nickel incorporation into metallo-sulfur cluster
BP	GO:0018871	1-aminocyclopropane-1-carboxylate metabolic process
BP	GO:0018873	atrazine metabolic process
BP	GO:0018874	benzoate metabolic process
BP	GO:0018875	anaerobic benzoate metabolic process
BP	GO:0018882	(+)-camphor metabolic process
BP	GO:0018884	carbazole metabolic process
BP	GO:0018890	cyanamide metabolic process
BP	GO:0018893	dibenzofuran metabolic process
BP	GO:0018895	dibenzothiophene metabolic process
BP	GO:0018896	dibenzothiophene catabolic process
BP	GO:0018899	1,2-dichloroethane metabolic process
BP	GO:0018901	2,4-dichlorophenoxyacetic acid metabolic process
BP	GO:0018904	ether metabolic process
BP	GO:0018909	dodecyl sulfate metabolic process
BP	GO:0018913	anaerobic ethylbenzene metabolic process
BP	GO:0018915	ethylbenzene metabolic process
BP	GO:0018916	nitrobenzene metabolic process
BP	GO:0018917	fluorene metabolic process
BP	GO:0018918	gallate metabolic process
BP	GO:0018923	limonene metabolic process
BP	GO:0018924	mandelate metabolic process
BP	GO:0018931	naphthalene metabolic process
BP	GO:0018933	nicotine metabolic process
BP	GO:0018937	nitroglycerin metabolic process
BP	GO:0018941	organomercury metabolic process
BP	GO:0018942	organometal metabolic process
BP	GO:0018948	xylene metabolic process
BP	GO:0018955	phenanthrene metabolic process
BP	GO:0018958	phenol-containing compound metabolic process
BP	GO:0018959	aerobic phenol-containing compound metabolic process
BP	GO:0018960	4-nitrophenol metabolic process
BP	GO:0018961	pentachlorophenol metabolic process
BP	GO:0018962	3-phenylpropionate metabolic process
BP	GO:0018963	phthalate metabolic process
BP	GO:0018964	propylene metabolic process
BP	GO:0018965	s-triazine compound metabolic process
BP	GO:0018966	styrene metabolic process
BP	GO:0018967	tetrachloroethylene metabolic process
BP	GO:0018969	thiocyanate metabolic process
BP	GO:0018970	toluene metabolic process
BP	GO:0018973	trinitrotoluene metabolic process
BP	GO:0018974	2,4,6-trinitrotoluene metabolic process
BP	GO:0018979	trichloroethylene metabolic process
BP	GO:0018980	2,4,5-trichlorophenoxyacetic acid metabolic process
BP	GO:0018982	vanillin metabolic process
BP	GO:0018990	ecdysis, chitin-based cuticle
BP	GO:0018991	oviposition
BP	GO:0018996	molting cycle, collagen and cuticulin-based cuticle
BP	GO:0019042	viral latency
BP	GO:0019043	establishment of viral latency
BP	GO:0019044	maintenance of viral latency
BP	GO:0019045	latent virus replication
BP	GO:0019046	release from viral latency
BP	GO:0019048	modulation by virus of host morphology or physiology
BP	GO:0019049	evasion or tolerance of host defenses by virus
BP	GO:0019050	suppression by virus of host apoptotic process
BP	GO:0019054	modulation by virus of host cellular process
BP	GO:0019054	modulation by virus of host process
BP	GO:0019055	modification by virus of host cell cycle regulation
BP	GO:0019056	modulation by virus of host transcription
BP	GO:0019057	modulation by virus of host translation
BP	GO:0019058	viral life cycle
BP	GO:0019062	virion attachment to host cell
BP	GO:0019064	fusion of virus membrane with host plasma membrane
BP	GO:0019068	virion assembly
BP	GO:0019069	viral capsid assembly
BP	GO:0019072	viral genome packaging
BP	GO:0019073	viral DNA genome packaging
BP	GO:0019074	viral RNA genome packaging
BP	GO:0019075	virus maturation
BP	GO:0019076	viral release from host cell
BP	GO:0019079	viral genome replication
BP	GO:0019080	viral gene expression
BP	GO:0019082	viral protein processing
BP	GO:0019083	viral transcription
BP	GO:0019087	transformation of host cell by virus
BP	GO:0019098	reproductive behavior
BP	GO:0019184	nonribosomal peptide biosynthetic process
BP	GO:0019216	regulation of lipid metabolic process
BP	GO:0019217	regulation of fatty acid metabolic process
BP	GO:0019218	regulation of steroid metabolic process
BP	GO:0019219	regulation of nucleobase-containing compound metabolic process
BP	GO:0019220	regulation of phosphate metabolic process
BP	GO:0019221	cytokine-mediated signaling pathway
BP	GO:0019222	regulation of metabolic process
BP	GO:0019226	transmission of nerve impulse
BP	GO:0019227	neuronal action potential propagation
BP	GO:0019229	regulation of vasoconstriction
BP	GO:0019230	proprioception
BP	GO:0019236	response to pheromone
BP	GO:0019240	citrulline biosynthetic process
BP	GO:0019242	methylglyoxal biosynthetic process
BP	GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
BP	GO:0019244	lactate biosynthetic process from pyruvate
BP	GO:0019246	L(+)-lactate biosynthetic process from pyruvate
BP	GO:0019249	lactate biosynthetic process
BP	GO:0019250	aerobic cobalamin biosynthetic process
BP	GO:0019251	anaerobic cobalamin biosynthetic process
BP	GO:0019252	starch biosynthetic process
BP	GO:0019253	reductive pentose-phosphate cycle
BP	GO:0019254	carnitine metabolic process, CoA-linked
BP	GO:0019255	glucose 1-phosphate metabolic process
BP	GO:0019260	1,2-dichloroethane catabolic process
BP	GO:0019262	N-acetylneuraminate catabolic process
BP	GO:0019264	glycine biosynthetic process from serine
BP	GO:0019265	glycine biosynthetic process, by transamination of glyoxylate
BP	GO:0019270	aerobactin biosynthetic process
BP	GO:0019271	aerobactin transport
BP	GO:0019272	L-alanine biosynthetic process from pyruvate
BP	GO:0019276	UDP-N-acetylgalactosamine metabolic process
BP	GO:0019277	UDP-N-acetylgalactosamine biosynthetic process
BP	GO:0019279	L-methionine biosynthetic process from L-homoserine via cystathionine
BP	GO:0019280	L-methionine biosynthetic process from homoserine via O-acetyl-L-homoserine and cystathionine
BP	GO:0019281	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine
BP	GO:0019284	L-methionine salvage from S-adenosylmethionine
BP	GO:0019285	glycine betaine biosynthetic process from choline
BP	GO:0019286	glycine betaine biosynthetic process from glycine
BP	GO:0019287	isopentenyl diphosphate biosynthetic process, mevalonate pathway
BP	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
BP	GO:0019289	rhizobactin 1021 biosynthetic process
BP	GO:0019290	siderophore biosynthetic process
BP	GO:0019292	tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate
BP	GO:0019294	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
BP	GO:0019295	coenzyme M biosynthetic process
BP	GO:0019296	coenzyme M metabolic process
BP	GO:0019297	coenzyme B metabolic process
BP	GO:0019298	coenzyme B biosynthetic process
BP	GO:0019299	rhamnose metabolic process
BP	GO:0019300	rhamnose biosynthetic process
BP	GO:0019301	rhamnose catabolic process
BP	GO:0019303	D-ribose catabolic process
BP	GO:0019305	dTDP-rhamnose biosynthetic process
BP	GO:0019306	GDP-D-rhamnose biosynthetic process
BP	GO:0019307	mannose biosynthetic process
BP	GO:0019309	mannose catabolic process
BP	GO:0019310	inositol catabolic process
BP	GO:0019311	sorbose metabolic process
BP	GO:0019312	L-sorbose metabolic process
BP	GO:0019313	allose metabolic process
BP	GO:0019314	D-allose metabolic process
BP	GO:0019316	D-allose catabolic process
BP	GO:0019317	fucose catabolic process
BP	GO:0019318	hexose metabolic process
BP	GO:0019319	hexose biosynthetic process
BP	GO:0019320	hexose catabolic process
BP	GO:0019321	pentose metabolic process
BP	GO:0019322	pentose biosynthetic process
BP	GO:0019323	pentose catabolic process
BP	GO:0019324	L-lyxose metabolic process
BP	GO:0019326	nitrotoluene metabolic process
BP	GO:0019329	ammonia oxidation
BP	GO:0019331	anaerobic respiration, using ammonium as electron donor
BP	GO:0019333	denitrification pathway
BP	GO:0019336	phenol-containing compound catabolic process
BP	GO:0019337	tetrachloroethylene catabolic process
BP	GO:0019338	pentachlorophenol catabolic process
BP	GO:0019340	dibenzofuran catabolic process
BP	GO:0019343	cysteine biosynthetic process via cystathionine
BP	GO:0019344	cysteine biosynthetic process
BP	GO:0019346	transsulfuration
BP	GO:0019348	dolichol metabolic process
BP	GO:0019350	teichoic acid biosynthetic process
BP	GO:0019353	protoporphyrinogen IX biosynthetic process from glutamate
BP	GO:0019354	siroheme biosynthetic process
BP	GO:0019355	nicotinamide nucleotide biosynthetic process from aspartate
BP	GO:0019357	nicotinate nucleotide biosynthetic process
BP	GO:0019358	nicotinate nucleotide salvage
BP	GO:0019359	nicotinamide nucleotide biosynthetic process
BP	GO:0019362	pyridine nucleotide metabolic process
BP	GO:0019363	pyridine nucleotide biosynthetic process
BP	GO:0019364	pyridine nucleotide catabolic process
BP	GO:0019365	pyridine nucleotide salvage
BP	GO:0019367	fatty acid elongation, saturated fatty acid
BP	GO:0019369	arachidonic acid metabolic process
BP	GO:0019370	leukotriene biosynthetic process
BP	GO:0019371	cyclooxygenase pathway
BP	GO:0019372	lipoxygenase pathway
BP	GO:0019374	galactolipid metabolic process
BP	GO:0019375	galactolipid biosynthetic process
BP	GO:0019376	galactolipid catabolic process
BP	GO:0019377	glycolipid catabolic process
BP	GO:0019379	sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)
BP	GO:0019380	3-phenylpropionate catabolic process
BP	GO:0019381	atrazine catabolic process
