GO_id	description	ontology	why	original_keyword	behaviour
GO:0036086	positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0038001	paracrine signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0038003	opioid receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0038127	ERBB signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0039531	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0039532	negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0039533	regulation of MDA-5 signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0039534	negative regulation of MDA-5 signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0039666	virion attachment to host cell pilus	BP	child of GO:0022610	adhesi	biofilm
GO:0042102	positive regulation of T cell proliferation	BP	child of GO:0007155	adhesi	biofilm
GO:0042130	negative regulation of T cell proliferation	BP	child of GO:0007155	adhesi	biofilm
GO:0042149	cellular response to glucose starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0042183	formate catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0042262	DNA protection	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0042509	regulation of tyrosine phosphorylation of STAT protein	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0042603	capsule	CC	child of GO:0030112	glycocalyx	biofilm
GO:0042626	"ATPase activity, coupled to transmembrane movement of substances"	MF	parent of GO:0015623	chelate	siderophores
GO:0042631	cellular response to water deprivation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0042710	biofilm formation	BP	keyword match	biofilm	biofilm
GO:0042744	hydrogen peroxide catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0042770	signal transduction in response to DNA damage	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0042863	pyochelin metabolic process	BP	child of GO:0009237	siderophore	siderophores
GO:0042864	pyochelin biosynthetic process	BP	child of GO:0009237	siderophore	siderophores
GO:0042928	ferrichrome import into cell	BP	child of GO:0015891	siderophore	siderophores
GO:0042929	ferrichrome transmembrane transporter activity	MF	child of GO:0015603	chelate	siderophores
GO:0042930	enterobactin transport	BP	child of GO:0015891	siderophore	siderophores
GO:0042931	enterobactin transmembrane transporter activity	MF	child of GO:0015343	siderophore	siderophores
GO:0043062	extracellular structure organization	BP	parent of GO:0030198	extracellular matrix	biofilm
GO:0043107	type IV pilus-dependent motility	BP	keyword match	type IV pilus	biofilm
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043236	laminin binding	MF	child of GO:0050840	extracellular matrix	biofilm
GO:0043401	steroid hormone mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043405	regulation of MAP kinase activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043406	positive regulation of MAP kinase activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043407	negative regulation of MAP kinase activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043408	regulation of MAPK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043409	negative regulation of MAPK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043410	positive regulation of MAPK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043506	regulation of JUN kinase activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043508	negative regulation of JUN kinase activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043516	"regulation of DNA damage response, signal transduction by p53 class mediator"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043518	"negative regulation of DNA damage response, signal transduction by p53 class mediator"	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043562	cellular response to nitrogen levels	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043639	benzoate catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0043640	benzoate catabolic process via hydroxylation	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0043683	type IV pilus biogenesis	BP	keyword match	type IV pilus	biofilm
GO:0043684	type IV secretion system complex	CC	keyword match	secretion syst	secretion_system
GO:0043708	cell adhesion involved in biofilm formation	BP	keyword match	biofilm	biofilm
GO:0043709	cell adhesion involved in single-species biofilm formation	BP	keyword match	biofilm	biofilm
GO:0043900	regulation of multi-organism process	BP	parent of GO:1900190	biofilm	biofilm
GO:0043901	negative regulation of multi-organism process	BP	parent of GO:1900191	biofilm	biofilm
GO:0043902	positive regulation of multi-organism process	BP	parent of GO:1900192	biofilm	biofilm
GO:0043949	regulation of cAMP-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0043950	positive regulation of cAMP-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0044002	acquisition of nutrients from host	BP	parent of GO:0052099	siderophore	siderophores
GO:0044010	single-species biofilm formation	BP	keyword match	biofilm	biofilm
GO:0044011	single-species biofilm formation on inanimate substrate	BP	keyword match	biofilm	biofilm
GO:0044085	cellular component biogenesis	BP	parent of GO:0043683	type IV pilus	biofilm
GO:0044087	regulation of cellular component biogenesis	BP	parent of GO:1901201	extracellular matrix	biofilm
GO:0044089	positive regulation of cellular component biogenesis	BP	parent of GO:1903658	type IV pilus	biofilm
GO:0044096	type IV pilus	CC	keyword match	type IV pilus	biofilm
GO:0044097	secretion by the type IV secretion system	BP	keyword match	secretion syst	secretion_system
GO:0044248	cellular catabolic process	BP	parent of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0044264	cellular polysaccharide metabolic process	BP	parent of GO:0046379	extracellular polysacch	biofilm
GO:0044315	protein secretion by the type VII secretion system	BP	keyword match	secretion syst	secretion_system
GO:0044403	symbiont process	BP	parent of GO:0044406	adhesi	biofilm
GO:0044406	adhesion of symbiont to host	BP	parent of GO:0044407	biofilm	biofilm
GO:0044407	single-species biofilm formation in or on host organism	BP	keyword match	biofilm	biofilm
GO:0044419	interspecies interaction between organisms	BP	parent of GO:0052097	quorum sensing	quorum_sensing
GO:0044420	extracellular matrix component	CC	keyword match	extracellular matrix	biofilm
GO:0044421	extracellular region part	CC	parent of GO:0031012	extracellular matrix	biofilm
GO:0044464	cell part	CC	parent of GO:0015627	secretion syst	secretion_system
GO:0044550	secondary metabolite biosynthetic process	BP	parent of GO:0019290	siderophore	siderophores
GO:0044650	adhesion of symbiont to host cell	BP	keyword match	adhesi	biofilm
GO:0044651	adhesion of symbiont to host epithelial cell	BP	keyword match	adhesi	biofilm
GO:0044718	siderophore transmembrane transport	BP	keyword match	siderophore	siderophores
GO:0044764	multi-organism cellular process	BP	parent of GO:0042710	biofilm	biofilm
GO:0044764	multi-organism cellular process	BP	parent of GO:0009372	quorum sensing	quorum_sensing
GO:0045013	carbon catabolite repression of transcription	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045014	carbon catabolite repression of transcription by glucose	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045226	extracellular polysaccharide biosynthetic process	BP	parent of GO:0045228	slime layer	biofilm
GO:0045227	capsule polysaccharide biosynthetic process	BP	keyword match	capsule	biofilm
GO:0045228	slime layer polysaccharide biosynthetic process	BP	keyword match	slime layer	biofilm
GO:0045229	external encapsulating structure organization	BP	parent of GO:0045231	slime layer	biofilm
GO:0045230	capsule organization	BP	keyword match	capsule	biofilm
GO:0045231	slime layer organization	BP	keyword match	slime layer	biofilm
GO:0045296	cadherin binding	MF	child of GO:0050839	adhesi	biofilm
GO:0045304	regulation of establishment of competence for transformation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045581	negative regulation of T cell differentiation	BP	child of GO:0007155	adhesi	biofilm
GO:0045582	positive regulation of T cell differentiation	BP	child of GO:0007155	adhesi	biofilm
GO:0045733	acetate catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0045734	regulation of acetate catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0045744	negative regulation of G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045785	positive regulation of cell adhesion	BP	keyword match	adhesi	biofilm
GO:0045808	negative regulation of establishment of competence for transformation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045809	positive regulation of establishment of competence for transformation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045880	positive regulation of smoothened signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045990	carbon catabolite regulation of transcription	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0045991	carbon catabolite activation of transcription	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046007	negative regulation of activated T cell proliferation	BP	child of GO:0007155	adhesi	biofilm
GO:0046199	cresol catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0046244	salicylic acid catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0046294	formaldehyde catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:0046328	regulation of JNK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046329	negative regulation of JNK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046379	extracellular polysaccharide metabolic process	BP	keyword match	extracellular polysacch	biofilm
GO:0046425	regulation of receptor signaling pathway via JAK-STAT	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046442	aerobactin metabolic process	BP	child of GO:0009237	siderophore	siderophores
GO:0046494	rhizobactin 1021 metabolic process	BP	child of GO:0009237	siderophore	siderophores
GO:0046578	regulation of Ras protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046580	negative regulation of Ras protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046635	positive regulation of alpha-beta T cell activation	BP	child of GO:0007155	adhesi	biofilm
GO:0046638	positive regulation of alpha-beta T cell differentiation	BP	child of GO:0007155	adhesi	biofilm
GO:0046676	negative regulation of insulin secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046810	host cell extracellular matrix binding	MF	keyword match	extracellular matrix	biofilm
GO:0046813	receptor-mediated virion attachment to host cell	BP	child of GO:0022610	adhesi	biofilm
GO:0046819	protein secretion by the type V secretion system	BP	keyword match	secretion syst	secretion_system
GO:0046879	hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046883	regulation of hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046888	negative regulation of hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046928	regulation of neurotransmitter secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0046929	negative regulation of neurotransmitter secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0048008	platelet-derived growth factor receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0048015	phosphatidylinositol-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0048017	inositol lipid-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0048167	regulation of synaptic plasticity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0048384	retinoic acid receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0048385	regulation of retinoic acid receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0048518	positive regulation of biological process	BP	parent of GO:0045785	adhesi	biofilm
GO:0048522	positive regulation of cellular process	BP	parent of GO:1900192	biofilm	biofilm
GO:0048522	positive regulation of cellular process	BP	parent of GO:0010647	cell communication	quorum_sensing
GO:0048523	negative regulation of cellular process	BP	parent of GO:1900191	biofilm	biofilm
GO:0048523	negative regulation of cellular process	BP	parent of GO:0010648	cell communication	quorum_sensing
GO:0048870	cell motility	BP	parent of GO:0043107	type IV pilus	biofilm
GO:0050789	regulation of biological process	BP	parent of GO:0030155	adhesi	biofilm
GO:0050794	regulation of cellular process	BP	parent of GO:1900190	biofilm	biofilm
GO:0050794	regulation of cellular process	BP	parent of GO:0010646	cell communication	quorum_sensing
GO:0050796	regulation of insulin secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0050804	modulation of chemical synaptic transmission	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0050805	negative regulation of synaptic transmission	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0050839	cell adhesion molecule binding	MF	keyword match	adhesi	biofilm
GO:0050840	extracellular matrix binding	MF	keyword match	extracellular matrix	biofilm
GO:0050848	regulation of calcium-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0050849	negative regulation of calcium-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0050850	positive regulation of calcium-mediated signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0050851	antigen receptor-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0050853	B cell receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0050868	negative regulation of T cell activation	BP	child of GO:0007155	adhesi	biofilm
GO:0050870	positive regulation of T cell activation	BP	child of GO:0007155	adhesi	biofilm
GO:0051056	regulation of small GTPase mediated signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0051058	negative regulation of small GTPase mediated signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0051128	regulation of cellular component organization	BP	parent of GO:1903053	extracellular matrix	biofilm
GO:0051129	negative regulation of cellular component organization	BP	parent of GO:1903054	extracellular matrix	biofilm
GO:0051181	cofactor transport	BP	parent of GO:0015891	siderophore	siderophores
GO:0051184	cofactor transmembrane transporter activity	MF	parent of GO:0015343	siderophore	siderophores
GO:0051186	cofactor metabolic process	BP	parent of GO:0009237	siderophore	siderophores
GO:0051188	cofactor biosynthetic process	BP	parent of GO:0019290	siderophore	siderophores
GO:0051193	regulation of cofactor metabolic process	BP	parent of GO:1900704	siderophore	siderophores
GO:0051195	negative regulation of cofactor metabolic process	BP	parent of GO:1900705	siderophore	siderophores
GO:0051336	regulation of hydrolase activity	BP	parent of GO:0033252	beta-lactamase	antibiotic_degradation
GO:0051365	cellular response to potassium ion starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0051701	interaction with host	BP	parent of GO:0052106	quorum sensing	quorum_sensing
GO:0051703	intraspecies interaction between organisms	BP	parent of GO:0044011	biofilm	biofilm
GO:0051704	multi-organism process	BP	parent of GO:0044406	adhesi	biofilm
GO:0051896	regulation of protein kinase B signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0051897	positive regulation of protein kinase B signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0052001	type IV pili-dependent localized adherence to host	BP	child of GO:0022610	adhesi	biofilm
GO:0052047	interaction with other organism via secreted substance involved in symbiotic interaction	BP	parent of GO:0052211	secretion syst	secretion_system
GO:0052048	interaction with host via secreted substance involved in symbiotic interaction	BP	parent of GO:0052051	secretion syst	secretion_system
GO:0052051	interaction with host via protein secreted by type II secretion system	BP	keyword match	secretion syst	secretion_system
GO:0052065	positive regulation by organism of defense-related calcium ion flux in other organism involved in symbiotic interaction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0052097	interspecies quorum sensing	BP	keyword match	quorum sensing	quorum_sensing
GO:0052099	acquisition by symbiont of nutrients from host via siderophores	BP	keyword match	siderophore	siderophores
GO:0052106	quorum sensing involved in interaction with host	BP	keyword match	quorum sensing	quorum_sensing
GO:0052162	modulation by symbiont of defense-related host calcium ion flux	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0052211	interaction with other organism via protein secreted by type II secretion system involved in symbiotic interaction	BP	keyword match	secretion syst	secretion_system
GO:0052265	induction by organism of defense-related calcium ion flux in other organism involved in symbiotic interaction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0052301	modulation by organism of defense-related calcium ion flux in other organism involved in symbiotic interaction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0052389	positive regulation by symbiont of defense-related host calcium ion flux	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0052391	induction by symbiont of defense-related host calcium ion flux	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0052851	ferric-chelate reductase (NADPH) activity	MF	keyword match	chelate	siderophores
GO:0055085	transmembrane transport	BP	parent of GO:1905887	autoindu	quorum_sensing
GO:0055085	transmembrane transport	BP	parent of GO:0044718	siderophore	siderophores
GO:0060176	regulation of aggregation involved in sorocarp development	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0060314	regulation of ryanodine-sensitive calcium-release channel activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0060390	regulation of SMAD protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0060392	negative regulation of SMAD protein signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0060393	regulation of pathway-restricted SMAD protein phosphorylation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0060394	negative regulation of pathway-restricted SMAD protein phosphorylation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0060491	regulation of cell projection assembly	BP	parent of GO:1903656	type IV pilus	biofilm
GO:0060733	regulation of eIF2 alpha phosphorylation by amino acid starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0060828	regulation of canonical Wnt signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0061179	negative regulation of insulin secretion involved in cellular response to glucose stimulus	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0061737	leukotriene signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0061984	catabolite repression	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0061985	carbon catabolite repression	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0062023	collagen-containing extracellular matrix	CC	keyword match	extracellular matrix	biofilm
GO:0062039	biofilm matrix	CC	keyword match	biofilm	biofilm
GO:0062040	fungal biofilm matrix	CC	keyword match	biofilm	biofilm
GO:0070098	chemokine-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070099	regulation of chemokine-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070100	negative regulation of chemokine-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070297	regulation of phosphorelay signal transduction system	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070298	negative regulation of phosphorelay signal transduction system	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070302	regulation of stress-activated protein kinase signaling cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070372	regulation of ERK1 and ERK2 cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070374	positive regulation of ERK1 and ERK2 cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0070528	protein kinase C signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0071318	cellular response to ATP	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0071465	cellular response to desiccation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0071518	autoinducer-2 kinase activity	MF	keyword match	autoindu	quorum_sensing
GO:0071526	semaphorin-plexin signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0071806	protein transmembrane transport	BP	parent of GO:0030253	secretion syst	secretion_system
GO:0071875	adrenergic receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0071953	elastic fiber	CC	child of GO:0031012	extracellular matrix	biofilm
GO:0072331	signal transduction by p53 class mediator	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0072340	cellular lactam catabolic process	BP	parent of GO:0030655	beta-lactam antibiotic catabolic process	antibiotic_degradation
GO:0080040	positive regulation of cellular response to phosphate starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0085029	extracellular matrix assembly	BP	keyword match	extracellular matrix	biofilm
GO:0090036	regulation of protein kinase C signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090038	negative regulation of protein kinase C signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090090	negative regulation of canonical Wnt signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090136	epithelial cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:0090199	regulation of release of cytochrome c from mitochondria	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090200	positive regulation of release of cytochrome c from mitochondria	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090201	negative regulation of release of cytochrome c from mitochondria	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090242	retinoic acid receptor signaling pathway involved in somitogenesis	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090263	positive regulation of canonical Wnt signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090276	regulation of peptide hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090278	negative regulation of peptide hormone secretion	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090293	nitrogen catabolite regulation of transcription	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090294	nitrogen catabolite activation of transcription	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090295	nitrogen catabolite repression of transcription	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090520	sphingolipid mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0090604	surface biofilm formation	BP	keyword match	biofilm	biofilm
GO:0090605	submerged biofilm formation	BP	keyword match	biofilm	biofilm
GO:0090606	single-species surface biofilm formation	BP	keyword match	biofilm	biofilm
GO:0090609	single-species submerged biofilm formation	BP	keyword match	biofilm	biofilm
GO:0090650	cellular response to oxygen-glucose deprivation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0095500	acetylcholine receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0097190	apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0097191	extrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0097193	intrinsic apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0097311	bacterial biofilm matrix	CC	keyword match	biofilm	biofilm
GO:0098046	type V protein secretion system complex	CC	keyword match	secretion syst	secretion_system
GO:0098609	cell-cell adhesion	BP	keyword match	adhesi	biofilm
GO:0098636	protein complex involved in cell adhesion	CC	keyword match	adhesi	biofilm
GO:0098643	banded collagen fibril	CC	child of GO:0031012	extracellular matrix	biofilm
GO:0098644	complex of collagen trimers	CC	child of GO:0031012	extracellular matrix	biofilm
GO:0098670	entry receptor-mediated virion attachment to host cell	BP	child of GO:0022610	adhesi	biofilm
GO:0098671	adhesion receptor-mediated virion attachment to host cell	BP	keyword match	adhesi	biofilm
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	BP	keyword match	adhesi	biofilm
GO:0098776	protein transport across the cell outer membrane	BP	parent of GO:0015628	secretion syst	secretion_system
GO:0098916	anterograde trans-synaptic signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0098926	postsynaptic signal transduction	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0099004	calmodulin dependent kinase signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0099177	regulation of trans-synaptic signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0099536	synaptic signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0099537	trans-synaptic signaling	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0099601	regulation of neurotransmitter receptor activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0099643	signal release from synapse	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0106070	regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0106071	positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0140255	regulation of cellular response to phosphate starvation	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0198738	cell-cell signaling by wnt	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1900024	regulation of substrate adhesion-dependent cell spreading	BP	keyword match	adhesi	biofilm
GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	BP	keyword match	adhesi	biofilm
GO:1900065	regulation of ethanol catabolic process	BP	child of GO:0017001	antibiotic catabolic process	antibiotic_degradation
GO:1900073	regulation of neuromuscular synaptic transmission	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1900101	regulation of endoplasmic reticulum unfolded protein response	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1900102	negative regulation of endoplasmic reticulum unfolded protein response	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1900187	regulation of cell adhesion involved in single-species biofilm formation	BP	keyword match	biofilm	biofilm
GO:1900189	positive regulation of cell adhesion involved in single-species biofilm formation	BP	keyword match	biofilm	biofilm
GO:1900190	regulation of single-species biofilm formation	BP	keyword match	biofilm	biofilm
GO:1900191	negative regulation of single-species biofilm formation	BP	keyword match	biofilm	biofilm
GO:1900192	positive regulation of single-species biofilm formation	BP	keyword match	biofilm	biofilm
GO:1900231	regulation of single-species biofilm formation on inanimate substrate	BP	keyword match	biofilm	biofilm
GO:1900232	negative regulation of single-species biofilm formation on inanimate substrate	BP	keyword match	biofilm	biofilm
GO:1900233	positive regulation of single-species biofilm formation on inanimate substrate	BP	keyword match	biofilm	biofilm
GO:1900376	regulation of secondary metabolite biosynthetic process	BP	parent of GO:1900704	siderophore	siderophores
GO:1900377	negative regulation of secondary metabolite biosynthetic process	BP	parent of GO:1900705	siderophore	siderophores
GO:1900449	regulation of glutamate receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1900704	regulation of siderophore biosynthetic process	BP	keyword match	siderophore	siderophores
GO:1900705	negative regulation of siderophore biosynthetic process	BP	keyword match	siderophore	siderophores
GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:1901029	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
